school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,4893_0410,Renaissance Charter Academy,Instrumentality Charter,NA,Alternate Rating - Satisfactory Progress,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4893_0080,River Falls High,Traditional Public,81.5,Exceeds Expectations,977,78.6,76.5,76.7,NA,96.9,NA,NA,NA,NA,0
2018-19,4893_0110,River Falls Public Montessori Academy,Instrumentality Charter,82.2,Exceeds Expectations,189,70.7,82.2,92.5,NA,87.5,NA,NA,NA,NA,0
2018-19,4893_0040,Rocky Branch Elementary,Traditional Public,69.4,Meets Expectations,457,74.7,58.5,50.1,NA,90.9,NA,NA,NA,NA,0
2018-19,4893_0100,Westside Elementary,Traditional Public,68.9,Meets Expectations,433,76.3,58.5,43.9,NA,90.2,NA,NA,NA,NA,0
2018-19,4904_0020,River Ridge Elementary,Traditional Public,84.3,Significantly Exceeds Expectations,198,67.1,97.3,73.1,NA,85.9,NA,NA,NA,NA,0
2018-19,4904_0080,River Ridge High,Traditional Public,79.4,Exceeds Expectations^,191,65.9,81.2,NA,NA,97.1,NA,NA,NA,NA,0
2018-19,4904_0040,River Ridge Middle,Traditional Public,90.8,Significantly Exceeds Expectations,153,77.4,92.5,100,NA,90.4,NA,NA,NA,NA,0
2018-19,5523_0120,River Valley Elementary,Traditional Public,65.4,Meets Expectations,276,63,51.7,60.6,NA,87.4,NA,NA,NA,NA,0
2018-19,5523_0110,River Valley High,Traditional Public,79.1,Exceeds Expectations,427,70.4,61.3,90.3,NA,97.6,NA,NA,NA,NA,0
2018-19,5523_0100,River Valley Middle,Traditional Public,75.6,Exceeds Expectations,357,68.5,72.7,72.7,NA,88.4,NA,NA,NA,NA,0
2018-19,3850_0430,Riverdale Academy,Traditional Public,NA,Alternate Rating - Satisfactory Progress,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3850_0150,Riverdale Elementary,Traditional Public,82.4,Exceeds Expectations,403,74.7,84.1,78.7,NA,87.4,NA,NA,NA,NA,0
